id,type,title,file,pages_in_source_start,pages_in_source_end,page_count,population,source_program
narrative_body,narrative,,pdf/narrative_body.pdf,1,42,42,,
Table 14-1.01,table,Summary of Populations,pdf/Table_14-1.01.pdf,43,43,1,All Subjects,
Table 14-1.02,table,Summary of End of Study Data,pdf/Table_14-1.02.pdf,44,44,1,Intent-to-Treat,
Table 14-1.03,table,Summary of Number of Subjects By Site,pdf/Table_14-1.03.pdf,45,45,1,All Subjects,
Table 14-2.01,table,Summary of Demographic and Baseline Characteristics,pdf/Table_14-2.01.pdf,46,48,3,Intent-to-Treat,
Table 14-3.01,table,Primary Endpoint Analysis: ADAS Cog (11) - Change from Baseline to Week 24 - LOCF,pdf/Table_14-3.01.pdf,49,49,1,Efficacy,
Table 14-3.02,table,Primary Endpoint Analysis: CIBIC+ - Summary at Week 24 - LOCF,pdf/Table_14-3.02.pdf,50,50,1,Efficacy,
Table 14-3.03,table,ADAS Cog (11) - Change from Baseline to Week 8 - LOCF,pdf/Table_14-3.03.pdf,51,51,1,Efficacy,
Table 14-3.04,table,CIBIC+ - Summary at Week 8 - LOCF,pdf/Table_14-3.04.pdf,52,52,1,Efficacy,
Table 14-3.05,table,ADAS Cog (11) - Change from Baseline to Week 16 - LOCF,pdf/Table_14-3.05.pdf,53,53,1,Efficacy,
Table 14-3.06,table,CIBIC+ - Summary at Week 16 - LOCF,pdf/Table_14-3.06.pdf,54,54,1,Efficacy,
Table 14-3.07,table,ADAS Cog (11) - Change from Baseline to Week 24 - Completers at Wk 24-Observed Cases-Windowed,pdf/Table_14-3.07.pdf,55,55,1,Completers,
Table 14-3.08,table,ADAS Cog (11) - Change from Baseline to Week 24 in Male Subjects - LOCF,pdf/Table_14-3.08.pdf,56,56,1,Efficacy,
Table 14-3.09,table,ADAS Cog (11) - Change from Baseline to Week 24 in Female Subjects - LOCF,pdf/Table_14-3.09.pdf,57,57,1,Efficacy,
Table 14-3.10,table,ADAS Cog (11) - Mean and Mean Change from Baseline over Time,pdf/Table_14-3.10.pdf,58,58,1,Efficacy,
Table 14-3.11,table,ADAS Cog (11) - Repeated Measures Analysis of Change from Baseline to Week 24,pdf/Table_14-3.11.pdf,59,59,1,Efficacy,
Table 14-3.12,table,Mean NPI-X Total Score from Week 4 through Week 24 - Windowed,pdf/Table_14-3.12.pdf,60,60,1,Efficacy,
Table 14-3.13,table,CIBIC+ - Categorical Analysis - LOCF,pdf/Table_14-3.13.pdf,61,61,1,Efficacy,
Table 14-4.01,table,"Summary of Planned Exposure to Study Drug, as of End of Study",pdf/Table_14-4.01.pdf,62,62,1,Safety,
Table 14-5.01,table,Incidence of Treatment Emergent Adverse Events by Treatment Group,pdf/Table_14-5.01.pdf,63,78,16,Safety,
Table 14-5.02,table,Incidence of Treatment Emergent Serious Adverse Events by Treatment Group,pdf/Table_14-5.02.pdf,79,79,1,Safety,
Table 14-6.01,table,Summary Statistics for Continuous Laboratory Values,pdf/Table_14-6.01.pdf,80,94,15,Safety,
Table 14-6.02,table,Frequency of Normal and Abnormal (Beyond Normal Range) Laboratory Values During Treatment,pdf/Table_14-6.02.pdf,95,96,2,Safety,
Table 14-6.03,table,Frequency of Normal and Abnormal (Clinically Significant Change from Previous Visit) Laboratory Values,pdf/Table_14-6.03.pdf,97,98,2,Safety,
Table 14-6.04,table,"Shifts of Laboratory Values During Treatment, Categorized Based on Threshold Ranges, by Visit",pdf/Table_14-6.04.pdf,99,131,33,Safety,
Table 14-6.05,table,"Shifts of Laboratory Values During Treatment, Categorized Based on Threshold Ranges",pdf/Table_14-6.05.pdf,132,137,6,Safety,
Table 14-6.06,table,Shifts of Hy's Law Values During Treatment,pdf/Table_14-6.06.pdf,138,138,1,Safety,
Table 14-7.01,table,Summary of Vital Signs at Baseline and End of Treatment,pdf/Table_14-7.01.pdf,139,143,5,Safety,
Table 14-7.02,table,Summary of Vital Signs Change from Baseline at End of Treatment,pdf/Table_14-7.02.pdf,144,147,4,Safety,
Table 14-7.03,table,Summary of Weight Change from Baseline at End of Treatment,pdf/Table_14-7.03.pdf,148,148,1,Safety,
Table 14-7.04,table,Summary of Concomitant Medications (Number of Subjects),pdf/Table_14-7.04.pdf,149,150,2,Safety,
Figure 14-1,figure,Time to Dermatologic Event by Treatment Group,pdf/Figure_14-1.pdf,151,151,1,Safety,C:\cdisc_pilot\PROGRAMS\DRAFT\TFLs\kmfigure.sas
